epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,149.756,0.76809,1.05826,0.92487,0.92134,0.33835,0.51035,0.37621,0.75032,1.11832,0.95285,0.00993169,0.00993169,0.00993169
71,225.668,0.7784,1.06127,0.92921,0.80429,0.38411,0.51769,0.3777,0.70165,1.04046,0.93545,0.0099307,0.0099307,0.0099307
72,302.862,0.77354,1.03751,0.92815,0.91744,0.33398,0.46934,0.36012,0.72941,1.04586,0.94171,0.00992971,0.00992971,0.00992971
73,384.352,0.7494,1.03735,0.93818,0.79173,0.4968,0.55724,0.43104,0.72231,1.01073,0.94852,0.00992872,0.00992872,0.00992872
74,435.423,0.73795,0.96816,0.91318,0.60674,0.32876,0.35939,0.2766,0.69685,1.02496,0.93795,0.00992773,0.00992773,0.00992773
75,484.546,0.77085,1.01491,0.947,0.74321,0.35245,0.40866,0.30904,0.70701,1.0529,0.93491,0.00992674,0.00992674,0.00992674
76,546.356,0.74607,1.03112,0.93242,0.80766,0.39463,0.45782,0.35209,0.67333,1.00153,0.9213,0.00992575,0.00992575,0.00992575
77,605.867,0.7658,1.0316,0.94531,0.81191,0.44583,0.575,0.43368,0.72274,0.9968,0.92534,0.00992476,0.00992476,0.00992476
78,695.108,0.74382,0.94832,0.91634,0.77327,0.56967,0.64681,0.51047,0.69715,1.00268,0.91343,0.00992377,0.00992377,0.00992377
79,773.36,0.76837,1.02183,0.95071,0.84151,0.66744,0.83998,0.65399,0.71739,0.99879,0.91803,0.00992278,0.00992278,0.00992278
80,827.116,0.79847,1.008,0.93336,0.73175,0.37723,0.49626,0.3525,0.77945,1.01702,0.96072,0.00992179,0.00992179,0.00992179
81,870.649,0.75903,0.97102,0.93103,0.74932,0.52072,0.61948,0.45343,0.71627,1.00108,0.9367,0.0099208,0.0099208,0.0099208
82,925.409,0.76887,0.97475,0.92747,0.71574,0.49548,0.55643,0.42247,0.67421,1.00519,0.92128,0.00991981,0.00991981,0.00991981
83,987.406,0.74983,0.9595,0.91854,0.87986,0.50127,0.65486,0.49149,0.7052,1.03587,0.9186,0.00991882,0.00991882,0.00991882
84,1051.23,0.75297,0.93872,0.92021,0.79503,0.50672,0.59934,0.4663,0.70442,1.03327,0.92345,0.00991783,0.00991783,0.00991783
85,1128.82,0.71286,0.93786,0.92158,0.80256,0.56738,0.61975,0.48322,0.70378,1.04742,0.92918,0.00991684,0.00991684,0.00991684
86,1211.93,0.70649,0.87202,0.91294,0.85292,0.6711,0.81105,0.63158,0.67668,0.94769,0.92629,0.00991585,0.00991585,0.00991585
87,1297.1,0.71242,0.85995,0.91022,0.86915,0.62753,0.76174,0.5919,0.68584,0.91527,0.92234,0.00991486,0.00991486,0.00991486
88,1390.46,0.74868,0.86646,0.89844,0.80743,0.75528,0.85533,0.66352,0.68008,0.91131,0.93065,0.00991387,0.00991387,0.00991387
89,1479.47,0.72032,0.86932,0.91003,0.82427,0.73892,0.85433,0.66994,0.66473,0.94034,0.92355,0.00991288,0.00991288,0.00991288
90,1560.48,0.73105,0.93225,0.90804,0.8599,0.71032,0.86125,0.68085,0.72261,0.93489,0.94265,0.00991189,0.00991189,0.00991189
91,1640.28,0.71208,0.87842,0.92295,0.81759,0.7063,0.85738,0.66832,0.71669,0.95151,0.94912,0.0099109,0.0099109,0.0099109
92,1730.62,0.69056,0.82813,0.89643,0.84599,0.70648,0.87638,0.69056,0.66015,0.93109,0.90647,0.00990991,0.00990991,0.00990991
93,1811.79,0.72071,0.90409,0.92291,0.74779,0.81855,0.89102,0.71725,0.60569,0.95574,0.89873,0.00990892,0.00990892,0.00990892
94,1900.33,0.73644,0.88815,0.93205,0.67138,0.85678,0.88452,0.70833,0.64837,0.9876,0.90966,0.00990793,0.00990793,0.00990793
95,1976.4,0.66934,0.86949,0.91776,0.73408,0.836,0.91116,0.71812,0.62243,0.90827,0.89957,0.00990694,0.00990694,0.00990694
96,2051.69,0.67964,0.80444,0.891,0.71338,0.87895,0.90879,0.71652,0.7039,0.98869,0.9391,0.00990595,0.00990595,0.00990595
97,2121.41,0.6976,0.98378,0.91261,0.79274,0.83233,0.92332,0.72478,0.65078,0.97928,0.92005,0.00990496,0.00990496,0.00990496
98,2200.44,0.70191,0.91075,0.91689,0.7668,0.81341,0.91238,0.71839,0.70581,0.91067,0.94367,0.00990397,0.00990397,0.00990397
99,2278.55,0.71344,0.87216,0.9071,0.67502,0.84373,0.90048,0.71059,0.64288,0.90808,0.91916,0.00990298,0.00990298,0.00990298
100,2359.15,0.72082,0.84534,0.9113,0.68092,0.84283,0.90221,0.71708,0.66294,0.89043,0.91413,0.00990199,0.00990199,0.00990199
101,2443.47,0.71377,0.79229,0.91215,0.7227,0.84471,0.91343,0.72194,0.69663,0.88771,0.92452,0.009901,0.009901,0.009901
102,2519.9,0.70814,0.85936,0.89984,0.78943,0.79372,0.9093,0.72888,0.68475,0.91169,0.92512,0.00990001,0.00990001,0.00990001
103,2580.4,0.72938,0.83121,0.91644,0.83131,0.76196,0.9177,0.7332,0.6456,0.90023,0.91379,0.00989902,0.00989902,0.00989902
104,2656.21,0.69183,0.91686,0.90463,0.78474,0.80146,0.90699,0.71564,0.64038,0.88358,0.90785,0.00989803,0.00989803,0.00989803
