epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,2473.22,0.82254,1.1917,0.9587,0.68264,0.23482,0.2777,0.20305,0.78495,1.18162,0.95775,0.00995446,0.00995446,0.00995446
48,2581.12,0.78014,1.14733,0.93847,0.78563,0.25187,0.32483,0.24617,0.71643,1.1446,0.92955,0.00995347,0.00995347,0.00995347
49,2708.48,0.80361,1.20384,0.94999,0.65346,0.29764,0.34408,0.25598,0.71345,1.15609,0.92883,0.00995248,0.00995248,0.00995248
50,2827.25,0.79701,1.08717,0.93038,0.66536,0.33321,0.38375,0.28906,0.70004,1.16341,0.92725,0.00995149,0.00995149,0.00995149
51,2954.6,0.78377,1.06746,0.94032,0.71098,0.2933,0.36083,0.26156,0.70721,1.12192,0.9195,0.0099505,0.0099505,0.0099505
52,3076.85,0.8185,1.16495,0.96187,0.70897,0.29933,0.37728,0.27918,0.74333,1.2498,0.95662,0.00994951,0.00994951,0.00994951
53,3218.04,0.78899,1.09302,0.94794,0.79123,0.31304,0.41476,0.3172,0.70608,1.11531,0.93445,0.00994852,0.00994852,0.00994852
54,3362.21,0.77384,1.04386,0.92792,0.7577,0.36883,0.47121,0.36149,0.70393,1.10003,0.926,0.00994753,0.00994753,0.00994753
55,3476.99,0.80359,1.13597,0.96486,0.69755,0.38488,0.43598,0.3326,0.71407,1.13083,0.93064,0.00994654,0.00994654,0.00994654
56,3605.81,0.81063,1.10629,0.95478,0.70314,0.43452,0.49071,0.37532,0.67712,1.04844,0.92531,0.00994555,0.00994555,0.00994555
57,3722.43,0.76272,1.03347,0.95693,0.7432,0.46214,0.53959,0.40702,0.70369,1.04205,0.93961,0.00994456,0.00994456,0.00994456
58,3864.93,0.77999,1.08395,0.94688,0.6494,0.48206,0.52525,0.4013,0.68731,1.00273,0.92091,0.00994357,0.00994357,0.00994357
59,4009.91,0.79149,1.013,0.94949,0.91051,0.41153,0.57035,0.44168,0.69556,1.03653,0.92517,0.00994258,0.00994258,0.00994258
60,4165.98,0.74593,0.99833,0.9445,0.73562,0.4677,0.58486,0.45996,0.61735,1.0013,0.90405,0.00994159,0.00994159,0.00994159
61,4323.4,0.73774,1.06356,0.93879,0.72647,0.54352,0.59198,0.46298,0.63919,1.0027,0.91184,0.0099406,0.0099406,0.0099406
62,4476.84,0.73033,1.04576,0.93821,0.76438,0.59476,0.69096,0.51979,0.70699,0.99166,0.93281,0.00993961,0.00993961,0.00993961
63,4614.99,0.74148,0.97754,0.92913,0.79855,0.51228,0.60155,0.44581,0.69094,0.98473,0.92606,0.00993862,0.00993862,0.00993862
64,4758.88,0.75383,1.03379,0.923,0.73447,0.57939,0.67396,0.50652,0.68222,0.94885,0.91906,0.00993763,0.00993763,0.00993763
65,4896.64,0.77728,1.01,0.94702,0.80702,0.5237,0.63823,0.47502,0.68025,0.94658,0.92352,0.00993664,0.00993664,0.00993664
66,5036.61,0.74491,0.93242,0.91933,0.7831,0.58256,0.69323,0.53854,0.63612,0.92017,0.9056,0.00993565,0.00993565,0.00993565
67,5173.96,0.74821,0.96184,0.94504,0.77012,0.57146,0.70946,0.54748,0.6286,0.9435,0.89765,0.00993466,0.00993466,0.00993466
68,5310.28,0.72159,0.99237,0.91167,0.79601,0.57794,0.70475,0.51357,0.73118,1.07175,0.93224,0.00993367,0.00993367,0.00993367
